,Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
100,4/10/20,24,El Cajon - Lexington Elementary School,06-073-1022,AQS,87,20,50,4/10/02,4/10/16
101,4/11/20,24,San Diego - Sherman Elementary School,06-073-1026,AQS,65,27,51.6,4/11/02,4/11/12
102,4/12/20,30,Pala Airpad,06-073-1201,AQS,74,20,50,4/12/02,4/12/01
103,4/13/20,40,Pala Airpad,06-073-1201,AQS,70,15,53.8,4/13/19,4/13/03
104,4/14/20,37,El Cajon - Lexington Elementary School,06-073-1022,AQS,82,20,48.8,4/14/02,4/14/00
105,4/15/20,59,Pala Airpad,06-073-1201,AQS,75,21,57.8,4/15/11,4/15/06
106,4/16/20,50,Pala Airpad,06-073-1201,AQS,74,14,56.4,4/16/11,4/16/06
107,4/17/20,54,Pala Airpad,06-073-1201,AQS,66,20,48.8,4/17/11,4/17/00
108,4/18/20,53,Pala Airpad,06-073-1201,AQS,67,18,49.4,4/18/15,4/18/17
109,4/19/20,28,Pala Airpad,06-073-1201,AQS,64,16,47.4,4/19/12,4/19/17
110,4/20/20,47,Pala Airpad,06-073-1201,AQS,72,23,55.8,4/20/12,4/20/07
111,4/21/20,54,Pala Airpad,06-073-1201,AQS,81,27,54.4,4/21/12,4/21/01
112,4/22/20,57,Pala Airpad,06-073-1201,AQS,78,17,50.2,4/22/12,4/22/06
113,4/23/20,62,Donovan,06-073-1014,AQS,66,21,52.8,4/23/17,4/23/06
114,4/24/20,65,Pala Airpad,06-073-1201,AQS,78,22,56.2,4/24/19,4/24/05
115,4/25/20,75,Pala Airpad,06-073-1201,AQS,79,26,56,4/25/19,4/25/03
116,4/26/20,73,Pala Airpad,06-073-1201,AQS,89,23,57.6,4/26/14,4/26/12
117,4/27/20,60,Pala Airpad,06-073-1201,AQS,82,27,57.6,4/27/01,4/27/06
118,4/28/20,63,Pala Airpad,06-073-1201,AQS,72,26,58.8,4/28/13,4/28/02
119,4/29/20,74,Pala Airpad,06-073-1201,AQS,99,26,55.2,4/29/14,4/29/02
120,4/30/20,75,Pala Airpad,06-073-1201,AQS,79,24,52.4,4/30/01,4/30/02
121,5/1/20,69,Pala Airpad,06-073-1201,AQS,96,27,51.8,5/1/01,5/1/02
122,5/2/20,71,Pala Airpad,06-073-1201,AQS,73,29,60.4,5/2/17,5/2/05
123,5/3/20,71,Pala Airpad,06-073-1201,AQS,71,23,60,5/3/19,5/3/03
124,5/4/20,68,Pala Airpad,06-073-1201,AQS,83,26,61,5/4/19,5/4/07
